Defense                             Attack,AAA compose RT_GS,PGD compose RT_GS,AAA union RT_GS,PGD union RT_GS,AAA,PGD,RT_GS,Natural
"L_infty_compose_RT, beta=1.0",0.6576,0.8178,0.9137,0.9451,0.9164,0.951,0.9728,0.9903
"L_infty_union_RT, beta=1.0",0.3623,0.6631,0.913,0.9489,0.9137,0.952,0.9785,0.9947
"RT, beta=1.0",0,0.0009,0,0.0018,0,0.0018,0.9902,0.9964
"L_infty, beta=1.0",,,,,,,,
"L_infty_compose_RT, beta=3.0",0.687,0.8308,0.9087,0.9368,0.9103,0.9401,0.9696,0.9865
"L_infty_union_RT, beta=3.0",0.4531,0.7378,0.9212,0.9562,0.922,0.9562,0.9778,0.9928
"RT, beta=3.0",0,0,0,0.0017,0,0.0017,0.9913,0.9949
"L_infty, beta=3.0",0.1929,0.3823,0.7413,0.7525,0.9383,0.9648,0.762,0.9935
"L_infty_compose_RT, beta=6.0",0.6852,0.8266,0.9039,0.9329,0.9061,0.9375,0.967,0.9822
"L_infty_union_RT, beta=6.0",0.4812,0.7643,0.9237,0.9509,0.9252,0.9546,0.9761,0.9922
"RT, beta=6.0",0,0,0,0,0,0,0.9879,0.9942
"L_infty, beta=6.0",0.1466,0.3645,0.7371,0.7552,0.9268,0.9607,0.7651,0.9948
Natural,0,0.0014,0,0.0213,0,0.0218,0.6782,0.9918
"All, beta=3.0",0.6536,0.8097,0.9211,0.9456,0.923,0.95,0.9736,0.9894